name,grader 1,grader 2,grader 3,grader 4,grader 5,grader 6,grader 7,grader 8,grader 9,grader 10,grader 11,grader 12,grader 13,grader 14,grader 15,average
"А. Н. Островский ""Гроза""",3,6,5,6,5,4,7,3,7,7,4,7,6,7,7,5.6
"А. П. Чехов ""Ионыч""",9,5,8,7,7,6,4,4,7,9,8,6,8,5,6,6.6
"И. А. Гончаров ""Обломов""",10,7,7,8,7,8,6,6,7,7,3,5,5,6,7,6.6
"И. С. Тургенев ""Отцы и дети""",10,8,9,8,8,5,10,9,8,9,7,5,8,7,9,8
"Л. Н. Толстой ""Война и мир""",5,6,10,7,6,7,7,10,10,10,7,7,3,5,9,7.3
"Ф. М. Достоевский ""Преступление и наказание""",5,10,10,9,9,10,10,7,8,8,8,10,8,8,5,8.3
"М. А. Булгаков ""Мастер и Маргарита""",7,10,10,9,10,10,10,10,10,10,6,10,7,5,6,8.7
А. А. Фет. Лирика,5,6,6,5,8,5,7,3,7,7,7,8,5,5,8,6.1
Ф. И. Тютчев. Лирика,5,4,6,6,9,5,9,3,7,6,6,8,5,6,8,6.2
